Model,Type,Performance Metrics (95% CI),,,,,,
,,AUC,Accuracy,Sensitivity,Specificity,Precision,F1 Score,
TCGA(Train),,,,,,,,
    LR,ML,0.993 (0.989-0.996),0.954 (0.921-0.977),0.950 (0.910-0.977),0.981 (0.949-1.000),0.997 (0.992-1.000),0.973 (0.953-0.987),
    LDA,ML,0.990 (0.985-0.995),0.938 (0.916-0.970),0.930 (0.905-0.972),0.994 (0.960-1.000),0.999 (0.995-1.000),0.963 (0.950-0.983),
    NaiveBayes,ML,0.991 (0.986-0.995),0.963 (0.938-0.982),0.959 (0.931-0.982),0.991 (0.967-1.000),0.999 (0.995-1.000),0.978 (0.964-0.990),
    KNN,ML,0.999 (0.998-1.000),0.999 (0.997-1.000),0.999 (0.996-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),0.999 (0.998-1.000),
    RF,ML,0.999 (0.998-1.000),0.993 (0.988-0.998),0.992 (0.986-0.998),1.000 (1.000-1.000),1.000 (1.000-1.000),0.996 (0.993-0.999),
    ExtraTrees,ML,0.999 (0.999-1.000),0.992 (0.985-0.998),0.991 (0.982-0.998),1.000 (1.000-1.000),1.000 (1.000-1.000),0.995 (0.991-0.999),
    AdaBoost,ML,1.000 (0.999-1.000),0.993 (0.987-0.998),0.992 (0.985-0.998),1.000 (1.000-1.000),1.000 (1.000-1.000),0.996 (0.992-0.999),
    XGB,ML,1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),
    MLP,DL,1.000 (1.000-1.000),0.998 (0.995-1.000),0.998 (0.994-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),0.999 (0.997-1.000),
   CNN,DL,0.990 (0.983-0.995),0.963 (0.927-0.982),0.962 (0.919-0.985),0.969 (0.933-1.000),0.996 (0.990-1.000),0.979 (0.957-0.990),
GSE225846,,,,,,,,
    LR,ML,0.690 (0.595-0.777),0.683 (0.597-0.760),0.783 (0.588-0.942),0.611 (0.406-0.792),0.597 (0.474-0.727),0.672 (0.574-0.759),
    LDA,ML,0.709 (0.620-0.793),0.675 (0.589-0.752),0.835 (0.540-0.982),0.559 (0.347-0.833),0.584 (0.464-0.738),0.679 (0.575-0.766),
    NaiveBayes,ML,0.578 (0.481-0.676),0.616 (0.527-0.698),0.792 (0.660-0.933),0.488 (0.296-0.632),0.529 (0.420-0.641),0.631 (0.536-0.719),
    KNN,ML,0.668 (0.574-0.760),0.662 (0.566-0.744),0.725 (0.442-0.940),0.617 (0.365-0.870),0.591 (0.452-0.761),0.636 (0.513-0.735),
    RF,ML,0.754 (0.668-0.834),0.719 (0.628-0.798),0.780 (0.565-0.984),0.675 (0.400-0.870),0.644 (0.500-0.795),0.696 (0.604-0.779),
    ExtraTrees,ML,0.740 (0.652-0.820),0.700 (0.612-0.775),0.767 (0.413-0.946),0.651 (0.443-0.951),0.631 (0.488-0.870),0.675 (0.543-0.769),
    AdaBoost,ML,0.775 (0.693-0.851),0.740 (0.643-0.814),0.727 (0.527-0.979),0.750 (0.447-0.916),0.694 (0.518-0.853),0.698 (0.600-0.784),
    XGB,ML,0.737 (0.651-0.817),0.706 (0.605-0.783),0.723 (0.538-0.962),0.694 (0.383-0.855),0.639 (0.494-0.778),0.671 (0.574-0.759),
    MLP,DL,0.901 (0.832-0.964),0.906 (0.853-0.953),0.848 (0.737-0.943),0.947 (0.878-1.000),0.921 (0.827-1.000),0.882 (0.812-0.943),
    CNN,DL,0.772 (0.678-0.860),0.796 (0.729-0.860),0.762 (0.630-0.879),0.820 (0.714-0.913),0.755 (0.630-0.870),0.756 (0.661-0.841),
GSE229571,,,,,,,,
    LR,ML,0.972 (0.833-1.000),0.957 (0.833-1.000),0.956 (0.750-1.000),0.964 (0.667-1.000),0.963 (0.714-1.000),0.954 (0.800-1.000),
    LDA,ML,0.944 (0.750-1.000),0.934 (0.750-1.000),0.910 (0.600-1.000),0.964 (0.667-1.000),0.965 (0.666-1.000),0.928 (0.714-1.000),
    NaiveBayes,ML,0.972 (0.833-1.000),0.957 (0.833-1.000),0.955 (0.750-1.000),0.966 (0.714-1.000),0.964 (0.714-1.000),0.954 (0.800-1.000),
    KNN,ML,0.860 (0.562-1.000),0.862 (0.667-1.000),0.898 (0.500-1.000),0.838 (0.429-1.000),0.860 (0.500-1.000),0.854 (0.600-1.000),
    RF,ML,0.943 (0.750-1.000),0.932 (0.750-1.000),0.909 (0.600-1.000),0.962 (0.667-1.000),0.963 (0.625-1.000),0.926 (0.727-1.000),
    ExtraTrees,ML,0.945 (0.771-1.000),0.934 (0.750-1.000),0.956 (0.667-1.000),0.918 (0.625-1.000),0.922 (0.600-1.000),0.929 (0.727-1.000),
    AdaBoost,ML,1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),
    XGB,ML,1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),1.000 (1.000-1.000),
    MLP,DL,0.916 (0.667-1.000),0.922 (0.750-1.000),0.975 (0.636-1.000),0.874 (0.571-1.000),0.886 (0.571-1.000),0.919 (0.667-1.000),
    CNN,DL,0.861 (0.571-1.000),0.863 (0.667-1.000),0.902 (0.500-1.000),0.835 (0.429-1.000),0.858 (0.500-1.000),0.855 (0.600-1.000),
