,chr9:72005566,chrX:135290920,chr10:115242087,chr11:72286713,chr11:72284423,chr22:36290864,chr16:14582114,chr21:28339062,chr17:40588365,chr5:169290519,chrX:135291290,chr11:72284673,chr18:10452969,chr18:10453069,chr16:14582404,chr5:169289769,chr9:72005256,chr14:75749053,target
TCGA-3C-AALI_tumor,0.0,0.202347086584895,0.0,0.0,0.202347086584895,0.202347086584895,1.25961061399097,0.354107401523566,0.0,0.0,0.515985070791482,0.350734275590196,0.0,0.0,2.1246444091414,0.0,0.0,0.0,1
TCGA-3C-AALJ_tumor,0.0,0.34551827246779,0.0,0.34551827246779,0.0,0.0,0.984727076533203,0.455455276401592,0.0,0.34551827246779,0.63006293539319,0.34551827246779,0.0,0.0,0.34551827246779,0.34551827246779,0.0,0.0,1
TCGA-3C-AALK_tumor,0.273242335579426,0.153939343988409,0.49645438436262,0.0,0.153939343988409,0.153939343988409,0.153939343988409,0.484908933563489,0.0,0.153939343988409,0.153939343988409,0.153939343988409,0.153939343988409,0.307878687976818,0.253999917580875,0.252900790664798,0.0,0.0,1
TCGA-5L-AAT0_tumor,0.23490406083583,0.0,0.469808121671659,0.0,0.0,0.394638822204194,0.0,0.264267068440308,0.0,0.23490406083583,0.23490406083583,0.23490406083583,0.23490406083583,0.0,0.0,0.848684881393768,0.0,0.0,1
TCGA-5T-A9QA_tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242045317399277,0.0,0.0,0.0,0.0,0.556704230018337,0.34491457729397,0.0,0.0,0.0,0.0,1
TCGA-A1-A0SB_tumor,0.37188401641424,0.0,0.766771167864412,0.222610538996732,0.253034485395256,1.80957995616001,0.0,0.578912231737631,0.153354233572882,0.76293731202509,0.276037620431188,0.0,0.693927906917293,1.38018810215594,0.0,0.486899691593901,0.816611293775599,0.398721007289494,1
TCGA-A1-A0SD_tumor,0.479304643994678,0.37279250088475,0.492618661883419,0.133140178887411,0.552531742382754,0.261689684406783,0.178907115379958,0.555860246854939,0.133140178887411,0.133140178887411,0.133140178887411,0.244977929152836,0.143935184591602,0.133140178887411,0.133140178887411,0.369463996412564,0.256294844358265,0.423946289015082,1
TCGA-A1-A0SE_tumor,0.130067937865714,0.260135875731427,0.170714168448749,0.242793917575792,0.0,0.254933158216799,0.130067937865714,0.656843086221854,0.130067937865714,1.67137300157442,0.0,0.494258163889712,0.30891135243107,0.260135875731427,0.260135875731427,2.39325005672913,0.159333223885499,0.130067937865714,1
TCGA-A1-A0SF_tumor,0.162640450739682,0.515689234052652,0.185119741136064,0.158673610477739,0.222143054668835,0.158673610477739,0.0,0.550399086344657,0.0,0.614860240601238,0.158673610477739,0.583125518505691,0.158673610477739,0.0,0.0,1.13054947465389,0.350403694226305,0.249910936502439,1
TCGA-A1-A0SG_tumor,0.0,0.287657138465029,0.143828569232515,0.143828569232515,0.143828569232515,0.0,0.143828569232515,0.323614280773158,0.0,0.211512855627644,0.143828569232515,0.143828569232515,0.0,0.0,0.0,0.143828569232515,0.0,0.636441418853877,1
TCGA-A1-A0SH_tumor,0.240765191783551,0.25694955144457,0.12346932911977,0.0,0.12346932911977,0.0,0.12346932911977,3.48800854763349,0.12346932911977,0.373494720587303,0.20372439304762,0.12346932911977,0.0,0.0,0.185203993679654,0.361147787675326,0.12346932911977,0.246938658239539,1
TCGA-A1-A0SI_tumor,0.0,0.214727998389439,0.111900443160444,0.111900443160444,0.0,0.285538598821368,0.111900443160444,1.39595802842654,0.0,0.0,0.130550890021995,0.0,0.111900443160444,0.151065598266599,0.271358574664077,0.0,0.0,0.111900443160444,1
TCGA-A1-A0SK_tumor,0.0,0.290057184169573,0.0,0.0,0.212708601724354,0.0,0.0,0.120857160070656,0.0,0.836935833489289,0.120857160070656,0.413935773241995,0.120857160070656,0.14200716308302,0.0,1.18137873969066,0.0,0.0,1
TCGA-A1-A0SM_tumor,0.11138572767221,0.0,0.11138572767221,0.165650626479558,0.22277145534442,0.0,0.144801445973873,0.378711474085515,0.0,0.0,0.278464319180525,0.300741464714967,0.11138572767221,0.0,0.0,0.11138572767221,0.0,0.11138572767221,1
TCGA-A1-A0SN_tumor,0.0,0.0,0.123527310492491,0.277936448608105,0.123527310492491,0.0,0.0,0.28411281413273,0.123527310492491,0.0,0.0,0.190905282000621,0.0,0.24019144361402,0.0,0.123527310492491,0.0,0.123527310492491,1
TCGA-A1-A0SO_tumor,0.431214286382873,0.0,0.0,0.0,0.11818461249582,0.0,0.455010758108906,0.0,0.11818461249582,0.11818461249582,0.186607593900275,0.0,0.0,0.0,0.460919988733697,0.345463077094281,0.11818461249582,0.11818461249582,1
TCGA-A1-A0SP_tumor,0.0,0.0,0.0,0.0,0.0,0.223234972910487,0.0,4.09276646981724,0.129620474103475,0.0,0.0,0.129620474103475,0.129620474103475,0.0,0.0,0.0,0.0,0.129620474103475,1
TCGA-A1-A0SQ_tumor,0.0,0.151461955322588,0.0,0.151461955322588,0.0,0.151461955322588,0.283991166229853,0.280204617346789,0.151461955322588,0.151461955322588,0.151461955322588,0.0,0.0,0.0,0.333216301709695,0.215833286334689,0.0,0.2574853240484,1
TCGA-A2-A04N_tumor,0.0,0.147613836358578,0.0,0.0,0.0,0.0,0.0,0.239872484082689,0.0,0.0,0.147613836358578,0.147613836358578,0.0,0.0,0.147613836358578,0.147613836358578,0.0,0.276775943172334,1
TCGA-A2-A04Q_tumor,0.122287235007842,0.0,0.489148940031367,0.0,0.0,0.0,0.122287235007842,0.122287235007842,0.0,0.761238037923815,0.122287235007842,0.122287235007842,0.122287235007842,0.0,0.122287235007842,0.590035908912837,0.333232715396369,0.0,1
TCGA-A2-A04R_tumor,0.0,0.422248308409939,0.307889391548914,0.0,0.0,0.0,0.0,0.277980136369877,0.0,0.288536344080125,0.0,0.0,0.0,0.140749436136646,0.315619350581539,0.197049210591305,0.886721447660872,0.313979619650547,1
TCGA-A2-A04T_tumor,0.0,0.207456964837987,0.122346572015443,0.0,0.244693144030887,3.73401737791133,0.0,0.122346572015443,0.122346572015443,0.810546039602313,0.122346572015443,0.0,0.122346572015443,0.122346572015443,0.0,0.587263545674129,0.122346572015443,0.0,1
TCGA-A2-A04U_tumor,0.0,0.36515265672384,0.54772898508576,0.0,0.0,0.0,0.0,0.0,0.406232330605272,0.0,0.0,0.0,0.534035760458616,0.552293393294808,0.0,0.36515265672384,0.18257632836192,0.36515265672384,1
TCGA-A2-A04V_tumor,0.136571503779405,0.225342981236018,0.0,0.0,0.197269342919123,0.0,0.136571503779405,0.136571503779405,0.136571503779405,0.136571503779405,0.194614392885652,0.198028680480137,0.136571503779405,0.136571503779405,0.245828706802928,0.0,0.136571503779405,0.0,1
TCGA-A2-A04W_tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.18598817189622,0.251084032059897,0.18598817189622,0.0,0.0,0.0,0.0,0.18598817189622,0.37197634379244,0.0,0.0,0.302230779331358,1
TCGA-A2-A04X_tumor,0.0,0.122672347410443,0.190142138486187,0.0,0.0,0.0,0.343482572749241,0.1607424837058,0.122672347410443,0.0,0.0,0.0,0.0,0.300547251155586,0.751368127888964,0.122672347410443,0.122672347410443,0.0,1
